Team_Name,Passing_Rating,Rushing_Rating,Offensive_Rating,Zone_Rating,Man_Rating,Blitz_Rating,Defensive_Rating,Kickoff_Rating,Punt_Rating,Field_Goal_Rating,Special_Teams_Rating,Overall_Rating
CAR,92,96,94.0,74,73,64,70.33333333333333,61,77,91,76.33333333333333,80.22222222222221
HOU,64,92,78.0,80,60,67,69.0,94,99,67,86.66666666666667,77.8888888888889
NO,60,81,70.5,62,98,76,78.66666666666667,81,91,80,84.0,77.72222222222223
ATL,95,70,82.5,94,73,94,87.0,83,96,76,85.0,84.83333333333333
TB,92,89,90.5,63,61,61,61.666666666666664,94,93,87,91.33333333333333,81.16666666666667
LAR,76,84,80.0,71,96,85,84.0,89,98,63,83.33333333333333,82.44444444444444
LAC,88,79,83.5,62,64,84,70.0,84,80,61,75.0,76.16666666666667
KC,77,87,82.0,63,89,71,74.33333333333333,71,97,69,79.0,78.44444444444444
LV,65,63,64.0,90,75,73,79.33333333333333,88,74,66,76.0,73.1111111111111
DEN,62,82,72.0,90,93,65,82.66666666666667,97,95,61,84.33333333333333,79.66666666666667
NYG,85,69,77.0,73,68,62,67.66666666666667,92,68,70,76.66666666666667,73.77777777777779
NYJ,65,77,71.0,81,94,63,79.33333333333333,90,93,79,87.33333333333333,79.22222222222221
GB,62,74,68.0,77,76,79,77.33333333333333,86,84,60,76.66666666666667,74.0
MIA,66,95,80.5,71,63,97,77.0,77,64,68,69.66666666666667,75.72222222222223
JAX,64,90,77.0,94,74,89,85.66666666666667,78,78,74,76.66666666666667,79.77777777777779
CIN,69,67,68.0,88,97,81,88.66666666666667,91,97,81,89.66666666666667,82.11111111111113
CLE,61,83,72.0,60,72,72,68.0,73,87,81,80.33333333333333,73.44444444444444
ARI,78,72,75.0,91,83,88,87.33333333333333,65,71,81,72.33333333333333,78.22222222222221
SF,76,72,74.0,77,67,80,74.66666666666667,95,65,95,85.0,77.8888888888889
DAL,82,93,87.5,72,65,70,69.0,74,99,99,90.66666666666667,82.3888888888889
DET,92,63,77.5,91,85,84,86.66666666666667,91,70,96,85.66666666666667,83.27777777777779
MIN,66,81,73.5,83,96,93,90.66666666666667,82,95,85,87.33333333333333,83.83333333333333
CHI,85,77,81.0,60,93,82,78.33333333333333,97,98,68,87.66666666666667,82.33333333333333
NE,70,96,83.0,80,64,97,80.33333333333333,77,87,65,76.33333333333333,79.88888888888887
PIT,78,78,78.0,91,62,86,79.66666666666667,78,87,96,87.0,81.55555555555556
TEN,84,96,90.0,92,83,98,91.0,85,61,67,71.0,84.0
BAL,95,86,90.5,99,90,87,92.0,64,95,93,84.0,88.83333333333333
WAS,85,66,75.5,61,85,98,81.33333333333333,62,79,80,73.66666666666667,76.83333333333333
BUF,77,88,82.5,71,64,61,65.33333333333333,89,73,79,80.33333333333333,76.05555555555554
PHI,74,64,69.0,83,85,90,86.0,63,99,81,81.0,78.66666666666667
IND,97,89,93.0,62,63,79,68.0,71,92,87,83.33333333333333,81.44444444444444
SEA,62,76,69.0,85,71,89,81.66666666666667,96,72,87,85.0,78.55555555555556
